BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,44,,B9,4-59 BEACH 63 STREET,,11692,2,0,2,"2,550","1,932",1940,1,B9,"326,550",6/3/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,44,,B9,455 BEACH 68TH ST,,11692,2,0,2,"4,000","2,800",1910,1,B9,0,6/24/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,48,,B1,449 BEACH 68TH,,11692,2,0,2,"4,000","4,455",1930,1,B1,"750,000",2/27/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16045,19,,B9,69-27 BAYFIELD AVENUE,,11692,2,0,2,"3,000","1,512",1950,1,B9,"395,000",4/22/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16045,62,,B9,69-46 DE COSTA AVENUE,,11692,2,0,2,"2,717","1,890",1950,1,B9,"510,000",12/10/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,14,,B9,69-49 DE COSTA AVENUE,,11692,2,0,2,"2,717","2,016",1940,1,B9,"175,000",7/13/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,24,,B9,69-27 DE COSTA AVENUE,,11692,2,0,2,"2,717","2,578",1940,1,B9,"645,000",12/22/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,28,,B9,615 BEACH 69TH STREET,,11692,2,0,2,"3,250","1,365",1940,1,B9,0,1/16/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,46,,B3,69-32 ALMEDA AVENUE,,11692,2,0,2,"2,000","2,176",1920,1,B3,"574,123",7/10/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16048,1,,B2,69-63 ALMEDA AVE,,11692,2,0,2,"3,800","2,100",2002,1,B2,"335,000",6/29/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16052,5,,B2,69-49 HESSLER AVENUE,,11692,2,0,2,"5,000","2,336",1930,1,B2,0,10/22/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,15,,B2,74-11 HILLMEYER AVENUE,,11692,2,0,2,"2,500","1,874",2019,1,B2,"849,000",12/31/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,17,,B2,617 BARBADOES DRIVE,,11692,2,0,2,"4,000","2,600",2009,1,B2,"825,000",7/28/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,19,,B2,615 BARBADOES DRIVE,,11692,2,0,2,"4,000","2,600",2009,1,B2,"825,000",7/28/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,20,,B2,611 BARBADOES DRIVE,,11692,2,0,2,"4,000","2,600",2009,1,B2,"825,000",7/28/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,23,,B2,607 BARBADOES DRIVE,,11692,2,0,2,"4,000","2,600",2009,1,B2,"825,000",7/28/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,25,,B2,603 BARBADOES DRIVE,,11692,2,0,2,"4,000","2,600",2009,1,B2,"825,000",7/28/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16064,33,,B2,553 BEACH 72 STREET,,11692,2,0,2,"3,333","1,932",2004,1,B2,"466,440",3/12/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16067,33,,B3,451 BEACH 72 STREET,,11692,2,0,2,"2,000",700,1930,1,B3,"480,000",12/22/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16067,33,,B3,451 BEACH 72ND STREET,,11692,2,0,2,"2,000",700,1930,1,B3,"320,000",1/29/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16078,15,,B3,335 BEACH 73 STREET,,11692,2,0,2,"3,000","1,332",1920,1,B3,"120,000",8/27/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,15,,B2,7024 SANDY DUNE WAY,,11692,2,0,2,"2,781","2,944",2007,1,B2,"990,000",10/21/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,18,,B2,134 MERIDIAN BLVD,,11692,2,0,2,"1,879","2,944",2007,1,B2,"890,000",1/31/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,29,,B2,6919 CATAMARAN WAY,,11692,2,0,2,"5,218","2,218",2007,1,B2,0,12/19/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,54,,B2,6907 CORAL REEF WAY,,11692,2,0,2,"2,384","2,926",2008,1,B2,"890,000",1/13/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,55,,B2,6905 CORAL REEF WAY,,11692,2,0,2,"2,384","2,926",2008,1,B2,"908,800",7/27/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16096,8,,B2,1-78 BEACH 74 STREET,,11692,2,0,2,"2,193","2,905",2006,1,B2,"875,000",10/28/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16096,14,,B2,73-19 ARVERNE MEWS DRIVE,,11692,2,0,2,"1,835","2,438",2003,1,B2,"590,000",10/29/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16096,27,,B2,7305 SPINNAKER DRIVE,,11692,2,0,2,"2,147","3,498",2003,1,B2,0,7/31/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,57,,C0,3-29 BEACH 65 STREET,,11692,3,0,3,"3,546","3,000",2006,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,58,,C0,327 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,59,,C0,325 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,60,,C0,323 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,61,,C0,321 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,62,,C0,319 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,65,,C0,317 BEACH 65 STREET,,11692,3,0,3,"4,000","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,66,,C0,3-11 BEACH 65 STREET,,11692,3,0,3,"3,308","3,000",2006,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,67,,C0,309 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,68,,C0,307 BEACH 65 STREET,,11692,3,0,3,"2,083","3,000",2008,1,C0,"13,950,000",3/4/2020
